KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
50351652,0,,,833,418,415,37,17,20,766,373,393,398,218,180,745,361,384,738,357,381,368,155,213,200,81,119,66,23,43,2,0,2,8,8,0,481,481,257,143,45,27,8,0,1,220,195,25,10,267,22,116,65
50351656,0,,,229,147,82,22,14,8,207,133,74,140,107,33,205,132,73,197,124,73,67,26,41,33,9,24,15,1,14,2,0,2,0,0,0,86,85,38,26,10,7,3,1,0,47,41,6,7,51,3,26,8
50351657,0,,,20,10,10,0,0,0,20,10,10,8,3,5,20,10,10,20,10,10,12,7,5,6,3,3,5,3,2,0,0,0,0,0,0,11,11,4,6,0,1,0,0,0,7,7,0,0,9,0,3,4
50351658,0,,,79,37,42,3,2,1,76,35,41,27,15,12,76,35,41,76,35,41,49,20,29,29,9,20,12,5,7,0,0,0,0,0,0,47,47,23,18,4,2,0,0,0,24,20,4,1,39,1,20,9
50351661,0,,,32,17,15,2,2,0,30,15,15,16,9,7,30,15,15,30,15,15,14,6,8,7,2,5,1,0,1,0,0,0,0,0,0,15,15,5,7,1,1,0,1,0,10,9,1,0,11,0,4,3
50351662,0,,,1746,785,961,102,51,51,1621,723,898,772,376,396,1592,710,882,1574,697,877,849,347,502,466,167,299,167,49,118,9,1,8,27,6,21,975,974,456,351,106,40,18,2,1,515,466,49,25,607,35,275,175
50351664,0,,,351,171,180,33,20,13,318,151,167,148,78,70,307,146,161,307,146,161,170,73,97,111,43,68,34,11,23,2,0,2,0,0,0,176,176,75,61,17,14,7,2,0,99,90,9,7,128,1,63,28
50351665,0,,,13,7,6,5,3,2,8,4,4,4,2,2,8,4,4,8,4,4,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0,4,4,0,2,0,1,1,0,0,4,4,0,2,2,0,0,2
50351666,0,,,34,22,12,9,7,2,25,15,10,25,15,10,25,15,10,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,9,3,1,4,0,0,0,8,8,0,4,0,3,0,0
50351667,0,,,44,22,22,4,2,2,40,20,20,20,11,9,40,20,20,39,19,20,20,9,11,15,7,8,6,2,4,0,0,0,0,0,0,20,20,5,9,4,1,1,0,0,15,13,2,2,13,0,2,2
50351668,0,,,66,33,33,2,0,2,64,33,31,24,16,8,62,32,30,59,30,29,40,17,23,19,8,11,3,0,3,0,0,0,0,0,0,35,35,11,19,3,2,0,0,0,24,24,0,1,28,0,9,11
50351670,0,,,19,10,9,0,0,0,19,10,9,8,5,3,19,10,9,19,10,9,11,5,6,7,3,4,3,2,1,1,0,1,0,0,0,9,9,4,3,1,0,0,1,0,5,4,1,0,8,0,3,2
50351671,0,,,196,98,98,11,6,5,185,92,93,88,48,40,181,90,91,180,90,90,97,44,53,52,19,33,19,5,14,2,0,2,1,0,1,91,91,27,36,16,11,1,0,0,63,55,8,4,63,0,23,19
50351672,0,,,1092,537,555,123,59,64,930,459,471,611,320,291,897,441,456,886,435,451,319,139,180,134,46,88,31,6,25,3,0,3,6,3,3,554,543,250,166,68,41,14,4,0,290,275,15,33,221,30,90,72
50351673,0,,,55,28,27,5,2,3,49,25,24,28,17,11,49,25,24,48,25,23,21,8,13,9,4,5,2,0,2,0,0,0,0,0,0,31,31,14,12,3,2,0,0,0,17,17,0,0,15,2,6,5
50351674,0,,,69,35,34,5,2,3,64,33,31,37,20,17,61,32,29,61,32,29,27,13,14,15,4,11,6,2,4,0,0,0,0,0,0,32,31,12,11,4,4,0,0,0,19,16,3,0,21,0,10,6
50351680,0,,,93,45,48,4,2,2,89,43,46,46,24,22,87,42,45,86,42,44,43,19,24,17,5,12,7,2,5,0,0,0,0,0,0,45,45,16,19,5,2,2,1,0,28,26,2,2,30,0,13,8
50351681,1,,50351691,266,103,163,9,4,5,257,99,158,91,55,36,254,98,156,254,98,156,166,44,122,136,32,104,79,15,64,17,1,16,0,0,0,92,90,41,28,15,6,0,1,0,48,41,7,4,54,2,22,13
50351682,0,,,101,66,35,6,4,2,95,62,33,70,52,18,95,62,33,94,61,33,25,10,15,23,10,13,14,5,9,3,0,3,3,0,3,62,61,48,4,7,2,0,0,0,13,11,2,4,7,17,2,1
50351683,0,,,178,82,96,8,5,3,170,77,93,59,29,30,169,76,93,169,76,93,111,48,63,64,26,38,26,8,18,3,1,2,0,0,0,96,96,36,40,18,2,0,0,0,60,53,7,2,77,0,31,21
50351690,0,,,24,12,12,0,0,0,24,12,12,7,4,3,24,12,12,24,12,12,17,8,9,7,4,3,0,0,0,0,0,0,0,0,0,12,12,4,5,2,1,0,0,0,8,7,1,0,10,0,3,4
50351691,2,50351681,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50351692,2,50351693,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50351693,1,,50351692,98,46,52,7,3,4,98,47,51,34,18,16,96,45,51,96,45,51,64,29,35,35,16,19,15,6,9,1,1,0,0,0,0,46,46,14,21,12,2,1,0,0,36,34,2,2,40,0,13,15
50352358,2,50352368,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50352359,0,,,566,295,271,32,21,11,517,264,253,258,153,105,509,260,249,507,259,248,259,111,148,143,60,83,45,18,27,2,2,0,11,9,2,331,331,172,105,37,13,3,1,0,159,150,9,9,197,13,91,51
50352366,0,,,13,7,6,0,0,0,13,7,6,5,3,2,13,7,6,13,7,6,8,4,4,5,3,2,1,1,0,0,0,0,0,0,0,9,9,6,2,1,0,0,0,0,3,3,0,0,6,0,4,2
50352368,1,,50352358,43,21,22,4,2,2,46,22,24,16,10,6,46,22,24,46,22,24,30,12,18,18,7,11,5,1,4,1,0,1,1,1,0,22,22,12,9,3,0,1,1,0,14,11,3,1,20,0,7,5
50352369,0,,,1173,538,635,93,52,41,1079,485,594,531,267,264,1058,470,588,1034,453,581,548,218,330,350,129,221,131,42,89,18,3,15,9,6,3,532,530,182,201,80,45,14,7,1,345,306,39,15,351,7,137,101
